Recipe,Beef,Mushrooms,Onion,Flour,Cream,Parsley,Chicken,Chives,Butter,Mackerel,Miso Paste,Squash,Rice,Soy Sauce,Milk,Salt,Sugar,Cinnamon,Apple,Egg,Cheese,Olive Oil,Baking Powder,Tomatoes,Stock,Tomato Paste,Yogurt,Panko,Ginger,Bell Pepper,Cilantro,Green Peas,Garlic,Noodles,Worcestershire Sauce,Asparagus,Green Beans,Smoked Salmon,Fresh Mint,Lemon,Celery,Cider Vinegar,Carrot,Bulghur Wheat,Olives,Spinach,Broccoli,Lime Juice,Banana
Zurich-Style Meat Saute,600,250,150,8,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galinha Caipira,0,0,150,0,0,0,2500,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Mackerel with Miso Soup and Squash,0,0,50,0,0,0,0,0,14,200,30,150,185,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risengrød,0,0,0,0,0,0,0,0,50,0,0,0,180,0,1000,1,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiced Apple Pancakes,0,0,0,250,0,0,0,0,0,0,0,0,0,0,160,0,12.5,8,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajine Maadnous,0,0,150,0,0,50,454,0,0,0,0,0,0,0,0,6,0,0.5,0,60,170,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grostoli,0,0,0,800,0,0,0,0,42,0,0,0,0,0,240,1,200,0,0,200,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exotic Ginger Cumin Chicken,0,0,75,0,0,0,907,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,544,120,30,180,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakka-Style Meatballs,227,0,70,0,0,0,0,0,0,0,0,0,150,30,0,0,0,0,0,0,0,15,0,0,0,0,0,30,14,240,15,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One-Pot Chicken Tetrazzini,0,227,70,24,0,30,450,0,42,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,75,3,227,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smoked Salmon Pasta Primavera,0,0,70,24,0,0,0,0,14,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,6,340,0,227,113,113,15,50,0,0,0,0,0,0,0,0,0
Spicy Kung Pao-Style Chicken,0,0,0,30,0,0,680,30,0,0,0,0,138,30,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,100,0,0,6,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
Three Bean Salad,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0,79,0,0,0,0,0,0,0,150,15,0,0,0,0,0,480,0,0,0,0,120,60,0,0,0,0,0,0
Za'atar Chicken Bulghur Bowls,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,4,0,0,0,75,15,0,300,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,100,0,30,0,150,28,113,0,0,0
Beef and Broccoli,227,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,30,0,0,120,0,0,0,6,0,0,100,6,0,0,0,0,0,0,0,0,0,130,0,0,0,90,0,0
Fajitas,0,0,150,0,0,0,454,0,0,0,0,0,0,15,0,6,0,0,0,0,0,41.25,0,0,0,0,0,0,0,120,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0
Smoked Salmon Quiche,0,0,75,220,240,0,0,2,250,0,0,0,0,0,240,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0
Bananas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
